Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Alabaster Water Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alabaster, Alabama,38361,https://www.ewg.org/tapwater/system.php?pws=AL0001148,3,12 ,2012-2017,Purchased groundwater under influence of surface water,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs),Barium;Bromodichloromethane;Chlorate;Chloroform;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Albertville Utilities Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Albertville, Alabama,29991,https://www.ewg.org/tapwater/system.php?pws=AL0000933,8,17 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs),Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Alexander City Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alexander City, Alabama,27000,https://www.ewg.org/tapwater/system.php?pws=AL0001265,9,14 ,2012-2017,Surface water,Bromodichloromethane;Chlorate;Chlorite;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Manganese;Strontium;Vanadium
Anniston Water and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Anniston, Alabama,56700,https://www.ewg.org/tapwater/system.php?pws=AL0000133,5,12 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Manganese;Total trihalomethanes (TTHMs),Barium;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Arab Water Works Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Arab, Alabama,34800,https://www.ewg.org/tapwater/system.php?pws=AL0000934,8,16 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Aluminum;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Athens Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Athens, Alabama,27534,https://www.ewg.org/tapwater/system.php?pws=AL0000824,8,14 ,2012-2017,Surface water,Atrazine;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Fluoride;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium
Auburn Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Auburn, Alabama,60003,https://www.ewg.org/tapwater/system.php?pws=AL0000804,6,16 ,2012-2017,Surface water,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Selenium;Strontium;Vanadium
Bessemer Water Service,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bessemer, Alabama,81759,https://www.ewg.org/tapwater/system.php?pws=AL0000737,8,16 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Haloacetic acids (HAA5);Molybdenum;Radium%2C combined (-226 & -228)*;Strontium;Vanadium
Birmingham Water Works Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Birmingham, Alabama,591243,https://www.ewg.org/tapwater/system.php?pws=AL0000738,8,19 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Aluminum;Barium;Chlorate;Chloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium
Blount County Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cleveland, Alabama,17139,https://www.ewg.org/tapwater/system.php?pws=AL0001783,7,13 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium
